"";"title";"Year"
"577";"The Year of Living Dangerously";"1983"
"578";"Return of the Jedi";"1983"
"579";"Gandhi";"1982"
"580";"E.T.: The Extra-Terrestrial";"1982"
"581";"An Officer and a Gentleman";"1982"
"582";"Tootsie";"1982"
"583";"Victor/Victoria";"1982"
"584";"Sophie's Choice";"1982"
"585";"Missing";"1982"
"586";"If You Love This Planet";"1982"
"587";"Just Another Missing Kid";"1982"
"588";"A Shocking Accident";"1982"
"589";"Tango";"1982"
"590";"To Begin Again (Volver a empezar)";"1982"
"591";"Quest for Fire";"1982"
"592";"Chariots of Fire";"1981"
"593";"Raiders of the Lost Ark";"1981"
"594";"Reds";"1981"
"595";"On Golden Pond";"1981"
"596";"Arthur";"1981"
"597";"An American Werewolf in London";"1981"
"598";"Close Harmony";"1981"
"599";"Crac";"1981"
"600";"Genocide";"1981"
"601";"Mephisto";"1981"
"602";"Violet";"1981"
"603";"Ordinary People";"1980"
"604";"Tess";"1980"
"605";"Raging Bull";"1980"
"606";"Fame";"1980"
"607";"Melvin and Howard";"1980"
"608";"Coal Miner's Daughter";"1980"
"609";"The Empire Strikes Back";"1980"
"610";"The Dollar Bottom";"1980"
"611";"The Fly (A Légy)";"1980"
"612";"From Mao to Mozart: Isaac Stern in China";"1980"
"613";"Karl Hess: Toward Liberty";"1980"
"614";"Moscow Does Not Believe in Tears";"1980"
"615";"Kramer vs. Kramer";"1979"
"616";"All That Jazz";"1979"
"617";"Apocalypse Now";"1979"
"618";"Norma Rae";"1979"
"619";"Breaking Away";"1979"
"620";"Alien";"1979"
"621";"Being There";"1979"
"622";"A Little Romance";"1979"
"623";"Best Boy";"1979"
"624";"Board and Care";"1979"
"625";"Every Child";"1979"
"626";"Paul Robeson: Tribute to an Artist";"1979"
"627";"The Tin Drum (Die Blechtrommel)";"1979"
"628";"The Black Stallion";"1979"
"629";"The Deer Hunter";"1978"
"630";"Coming Home";"1978"
"631";"Midnight Express";"1978"
"632";"Heaven Can Wait";"1978"
"633";"Days of Heaven";"1978"
"634";"California Suite";"1978"
"635";"The Buddy Holly Story";"1978"
"636";"Death on the Nile";"1978"
"637";"The Flight of the Gossamer Condor";"1978"
"638";"Get Out Your Handkerchiefs (Préparez vos mouchoirs)";"1978"
"639";"Scared Straight!";"1978"
"640";"Special Delivery";"1978"
"641";"Teenage Father";"1978"
"642";"Thank God It's Friday";"1978"
"643";"Superman";"1978"
"644";"Annie Hall";"1977"
"645";"Star Wars";"1977"
"646";"Julia";"1977"
"647";"Close Encounters of the Third Kind";"1977"
"648";"The Goodbye Girl";"1977"
"649";"A Little Night Music";"1977"
"650";"Gravity Is My Enemy";"1977"
"651";"I'll Find a Way";"1977"
"652";"Madame Rosa (La Vie devant soi)";"1977"
"653";"The Sand Castle (Le Château de sable)";"1977"
"654";"Who Are the DeBolts? And Where Did They Get Nineteen Kids?";"1977"
"655";"You Light Up My Life";"1977"
"656";"Rocky";"1976"
"657";"Network";"1976"
"658";"All the President's Men";"1976"
"659";"Bound for Glory";"1976"
"660";"A Star Is Born";"1976"
"661";"Fellini's Casanova (Il Casanova di Federico Fellini)";"1976"
"662";"The Omen";"1976"
"663";"Black and White in Color (Noirs et blancs en couleur)";"1976"
"664";"Harlan County, USA";"1976"
"665";"In the Region of Ice";"1976"
"666";"Leisure";"1976"
"667";"Number Our Days";"1976"
"668";"King Kong";"1976"
"669";"Logan's Run";"1976"
"670";"One Flew Over the Cuckoo's Nest";"1975"
"671";"Barry Lyndon";"1975"
"672";"Jaws";"1975"
"673";"Dog Day Afternoon";"1975"
"674";"Nashville";"1975"
"675";"Shampoo";"1975"
"676";"The Sunshine Boys";"1975"
"677";"Angel and Big Joe";"1975"
"678";"Dersu Uzala";"1975"
"679";"The End of the Game";"1975"
"680";"Great (Great (Isambard Kingdom Brunel))";"1975"
"681";"The Man Who Skied Down Everest";"1975"
"682";"The Hindenburg";"1975"
"683";"The Godfather: Part II";"1974"
"684";"The Towering Inferno";"1974"
"685";"The Great Gatsby";"1974"
"686";"Chinatown";"1974"
"687";"Murder on the Orient Express";"1974"
"688";"Earthquake";"1974"
"689";"Alice Doesn't Live Here Anymore";"1974"
"690";"Amarcord";"1974"
"691";"Harry and Tonto";"1974"
"692";"Closed Mondays";"1974"
"693";"Don't";"1974"
"694";"Hearts and Minds";"1974"
"695";"One-Eyed Men Are Kings (...borgnes sont rois, Les)";"1974"
"696";"The Sting";"1973"
"697";"The Exorcist";"1973"
"698";"The Way We Were";"1973"
"699";"Cries and Whispers (Viskningar och rop)";"1973"
"700";"A Touch of Class";"1973"
"701";"Day for Night (La Nuit américaine)";"1973"
"702";"Paper Moon";"1973"
"703";"The Paper Chase";"1973"
"704";"Save the Tiger";"1973"
"705";"The Bolero";"1973"
"706";"Frank Film";"1973"
"707";"The Great American Cowboy";"1973"
"708";"Princeton: A Search for Answers";"1973"
"709";"The Godfather";"1972"
"710";"Cabaret";"1972"
"711";"The Poseidon Adventure";"1972"
"712";"Travels with My Aunt";"1972"
"713";"Butterflies Are Free";"1972"
"714";"The Candidate";"1972"
"715";"The Discreet Charm of the Bourgeoisie (Le charme discret de la bourgeoisie)";"1972"
"716";"A Christmas Carol";"1972"
"717";"Limelight";"1972"
"718";"Marjoe";"1972"
"719";"Norman Rockwell's World... An American Dream";"1972"
"720";"This Tiny World";"1972"
"721";"The French Connection";"1971"
"722";"Fiddler on the Roof";"1971"
"723";"The Last Picture Show";"1971"
"724";"Nicholas and Alexandra";"1971"
"725";"Sentinels of Silence";"1971"
"726";"Bedknobs and Broomsticks";"1971"
"727";"Summer of '42";"1971"
"728";"The Garden of the Finzi-Continis (Il Giardino dei Finzi-Contini)";"1971"
"729";"The Hospital";"1971"
"730";"Klute";"1971"
